Entity,Code,Year,Other renewables,Biofuels,Solar,Wind,Hydropower,Nuclear,Gas,Coal,Oil
Austria,AUT,2004,6.4366565,0,0.048780486,2.5040653,99.626785,0,90.49233,46.576305,170.16396
Austria,AUT,2005,7.6254463,0.72200364,0.056501005,3.578701,99.71811,0,95.27706,46.730534,170.74123
Austria,AUT,2006,10.171143,2.8928862,0.059857953,4.686612,95.33713,0,89.532005,46.67483,169.86945
Austria,AUT,2007,12.747267,3.4435277,0.064463764,5.418045,98.54907,0,84.708954,45.044926,163.24309
Austria,AUT,2008,13.056207,3.8655322,0.07947206,5.3067474,101.13322,0,90.68555,44.52499,158.70348
Austria,AUT,2009,13.421102,4.913528,0.12838393,5.128714,107.33938,0,88.31914,33.460773,149.56474
Austria,AUT,2010,14.062893,5.1884685,0.23128422,5.3747754,99.90473,0,96.12812,39.34366,154.07774
Austria,AUT,2011,14.288163,5.1058393,0.45095843,5.016156,88.697334,0,90.41807,40.411076,145.06886
Austria,AUT,2012,14.660207,5.318852,0.86980164,6.345435,113.00953,0,86.24142,37.621,142.3423
Austria,AUT,2013,14.719604,5.2184405,1.6009566,8.064531,107.45964,0,82.00461,38.13149,145.6488
Austria,AUT,2014,14.254726,5.15734,1.9980814,9.785669,104.34411,0,75.10976,35.021385,141.40121
Austria,AUT,2015,14.570719,5.3529215,2.3724,12.254032,94.06801,0,79.68095,37.999046,142.84538
Austria,AUT,2016,14.986004,5.365529,2.7538092,13.152861,100.4305,0,83.4219,35.44773,146.15495
Austria,AUT,2017,15.416996,5.3517137,3.1724274,16.428778,95.734375,0,90.69854,36.564552,146.42876
Austria,AUT,2018,15.447946,5.170676,3.6197312,15.001068,93.62664,0,86.869194,32.28496,148.91289
Austria,AUT,2019,14.588332,5.1673193,4.2131014,18.440783,101.054375,0,89.00441,33.944683,153.20105
Austria,AUT,2020,14.378555,4.6218066,5.0442815,16.76921,103.698845,0,85.272484,29.031855,133.02937
Austria,AUT,2021,13.999028,4.846935,6.8322787,16.60109,95.78747,0,90.1544,30.161827,140.2148
Austria,AUT,2022,14.864737,4.6048346,9.293629,17.792751,85.07398,0,79.12825,28.861195,135.03087
Austria,AUT,2023,14.244397,5.405355,15.5971,19.601719,99.201546,0,68.81278,27.944517,134.10497
Austria,AUT,2024,14.519362,5.2798266,22.98332,22.462114,109.25404,0,68.21874,27.964993,131.87657